"State","pop.total","pop.white","pop.black","pop.americanindian","pop.asian","pop.pacificislander","pop.other"
"Alabama",4830620,3325464,1276544,23850,59599,2439,61078
"Alaska",733375,484250,25022,101313,42921,8841,9273
"Arizona",6641928,5210335,281576,294721,200090,12471,430890
"Arkansas",2958208,2307849,459748,18409,40336,6845,62484
"California",38421464,23747013,2265387,287028,5261978,150370,4974791
"Colorado",5278906,4446095,213787,50008,153467,7695,224374
"Connecticut",3593222,2778362,370501,8908,150670,981,181881
"Delaware",926454,642623,200481,3140,33643,306,20995
"Florida",19645772,14934702,3171108,54569,509085,11024,493202
"Georgia",10006693,6025691,3096757,25887,360448,4704,279403
"Hawaii",1406299,357164,28688,3012,530551,138901,14864
"Idaho",1616547,1482914,9900,20504,21711,1921,38371
"Illinois",12873761,9312771,1846108,28363,645642,3407,747933
"Indiana",6568645,5529201,603014,14793,121729,2285,152022
"Iowa",3093526,2820046,97788,9977,62997,1882,39872
"Kansas",2892987,2464566,168402,24022,75653,1796,63183
"Kentucky",4397353,3851591,347034,9063,55483,2197,41149
"Louisiana",4625253,2902538,1484363,27238,77818,1824,47595
"Maine",1329100,1262026,15037,7811,14590,187,3151
"Maryland",5930538,3416107,1750916,15579,357616,2754,211914
"Massachusetts",6705586,5334859,478947,13189,400675,1644,281595
"Michigan",9900571,7823875,1381388,53951,268766,2083,109184
"Minnesota",5419171,4594367,299176,56561,240786,1970,82085
"Mississippi",2988081,1768174,1116457,12896,28900,409,25911
"Missouri",6045448,4995527,697022,24951,106537,6161,67605
"Montana",1014699,904977,4757,65693,7187,848,5460
"Nebraska",1869365,1647551,88195,16319,38066,1280,36359
"Nevada",2798636,1929661,235721,31393,214846,17942,246138
"New Hampshire",1324201,1241313,17439,2238,31364,228,7273
"New Jersey",8904413,6083940,1202300,18335,804989,2808,568215
"New Mexico",2084117,1524911,43738,190528,28761,1276,226850
"New York",19673174,12704637,3070392,74793,1570223,6485,1685765
"North Carolina",9845333,6839831,2115338,116143,244076,6244,292310
"North Dakota",721640,640208,11872,38286,8979,304,5859
"Ohio",11575977,9538328,1412045,21646,216170,3060,97516
"Oklahoma",3849733,2813794,278571,279276,74570,4701,98885
"Oregon",3939233,3352941,72837,46258,156695,15042,132667
"Pennsylvania",12779559,10430142,1403143,23641,392595,4279,253070
"Rhode Island",1053661,854859,68243,5106,34213,373,61085
"South Carolina",4777576,3210708,1315058,14966,66982,2588,73324
"South Dakota",843190,716691,13133,72619,10152,332,7940
"Tennessee",6499615,5059894,1091070,17802,102027,3323,96739
"Texas",26538614,19874610,3152917,126493,1124011,21655,1585866
"Utah",2903379,2544735,31909,31824,64102,26147,129907
"Vermont",626604,594443,6949,2018,8774,249,2002
"Virginia",8256630,5695147,1589345,22570,492973,5304,183124
"Washington",6985464,5434177,253224,93266,535501,44159,264432
"West Virginia",1851420,1732235,61367,2953,13485,625,4566
"Wisconsin",5742117,4967124,360792,50449,143732,1233,96057
"Wyoming",579679,527763,6142,12658,5319,423,11885
